Cbb-2, -2 -2 FALSE;
Dbb-2, 0 0 FALSE;
Ebb-2, 2 2 FALSE;
Fbb-2, 3 3 FALSE;
Gbb-2, 5 5 FALSE;
Abb-2, 7 7 FALSE;
Bbb-2, 9 9 FALSE;
Cb-2, -1 -1 FALSE;
Db-2, 1 1 TRUE;
Eb-2, 3 3 TRUE;
Fb-2, 4 4 FALSE;
Gb-2, 6 6 TRUE;
Ab-2, 8 8 TRUE;
Bb-2, 10 10 TRUE;
C-2, 0 0 TRUE;
D-2, 2 2 TRUE;
E-2, 4 4 TRUE;
F-2, 5 5 TRUE;
G-2, 7 7 TRUE;
A-2, 9 9 TRUE;
B-2, 11 11 TRUE;
C#-2, 1 1 TRUE;
D#-2, 3 3 TRUE;
E#-2, 5 5 FALSE;
F#-2, 6 6 TRUE;
G#-2, 8 8 TRUE;
A#-2, 10 10 TRUE;
B#-2, 12 12 FALSE;
C##-2, 2 2 FALSE;
D##-2, 4 4 FALSE;
E##-2, 6 6 FALSE;
F##-2, 7 7 FALSE;
G##-2, 9 9 FALSE;
A##-2, 11 11 FALSE;
B##-2, 13 13 FALSE;
Cbb-1, 10 -10 FALSE;
Dbb-1, 12 -12 FALSE;
Ebb-1, 14 -14 FALSE;
Fbb-1, 15 -15 FALSE;
Gbb-1, 17 -17 FALSE;
Abb-1, 19 -19 FALSE;
Bbb-1, 21 -21 FALSE;
Cb-1, 11 -11 FALSE;
Db-1, 13 -13 TRUE;
Eb-1, 15 -15 TRUE;
Fb-1, 16 -16 FALSE;
Gb-1, 18 -18 TRUE;
Ab-1, 20 -20 TRUE;
Bb-1, 22 -22 TRUE;
C-1, 12 12 TRUE;
D-1, 14 14 TRUE;
E-1, 16 16 TRUE;
F-1, 17 17 TRUE;
G-1, 19 19 TRUE;
A-1, 21 21 TRUE;
B-1, 23 23 TRUE;
C#-1, 13 13 TRUE;
D#-1, 15 15 TRUE;
E#-1, 17 17 FALSE;
F#-1, 18 18 TRUE;
G#-1, 20 20 TRUE;
A#-1, 22 22 TRUE;
B#-1, 24 24 FALSE;
C##-1, 14 14 FALSE;
D##-1, 16 16 FALSE;
E##-1, 18 18 FALSE;
F##-1, 19 19 FALSE;
G##-1, 21 21 FALSE;
A##-1, 23 23 FALSE;
B##-1, 25 25 FALSE;
Cbb0, 22 22 FALSE;
Dbb0, 24 -24 FALSE;
Ebb0, 26 -26 FALSE;
Fbb0, 27 -27 FALSE;
Gbb0, 29 -29 FALSE;
Abb0, 31 -31 FALSE;
Bbb0, 33 -33 FALSE;
Cb0, 23 -23 FALSE;
Db0, 25 -25 TRUE;
Eb0, 27 -27 TRUE;
Fb0, 28 -28 FALSE;
Gb0, 30 -30 TRUE;
Ab0, 32 -32 TRUE;
Bb0, 34 -34 TRUE;
C0, 24 24 TRUE;
D0, 26 26 TRUE;
E0, 28 28 TRUE;
F0, 29 29 TRUE;
G0, 31 31 TRUE;
A0, 33 33 TRUE;
B0, 35 35 TRUE;
C#0, 25 25 TRUE;
D#0, 27 27 TRUE;
E#0, 29 29 FALSE;
F#0, 30 30 TRUE;
G#0, 32 32 TRUE;
A#0, 34 34 TRUE;
B#0, 36 36 FALSE;
C##0, 26 26 FALSE;
D##0, 28 28 FALSE;
E##0, 30 30 FALSE;
F##0, 31 31 FALSE;
G##0, 33 33 FALSE;
A##0, 35 35 FALSE;
B##0, 37 37 FALSE;
Cbb1, 34 -34 FALSE;
Dbb1, 36 -36 FALSE;
Ebb1, 38 -38 FALSE;
Fbb1, 39 -39 FALSE;
Gbb1, 41 -41 FALSE;
Abb1, 43 -43 FALSE;
Bbb1, 45 -45 FALSE;
Cb1, 35 -35 FALSE;
Db1, 37 -37 TRUE;
Eb1, 39 -39 TRUE;
Fb1, 40 -40 FALSE;
Gb1, 42 -42 TRUE;
Ab1, 44 -44 TRUE;
Bb1, 46 -46 TRUE;
C1, 36 36 TRUE;
D1, 38 38 TRUE;
E1, 40 40 TRUE;
F1, 41 41 TRUE;
G1, 43 43 TRUE;
A1, 45 45 TRUE;
B1, 47 47 TRUE;
C#1, 37 37 TRUE;
D#1, 39 39 TRUE;
E#1, 41 41 FALSE;
F#1, 42 42 TRUE;
G#1, 44 44 TRUE;
A#1, 46 46 TRUE;
B#1, 48 48 FALSE;
C##1, 38 38 FALSE;
D##1, 40 40 FALSE;
E##1, 42 42 FALSE;
F##1, 43 43 FALSE;
G##1, 45 45 FALSE;
A##1, 47 47 FALSE;
B##1, 49 49 FALSE;
Cbb2, 46 -46 FALSE;
Dbb2, 48 -48 FALSE;
Ebb2, 50 -50 FALSE;
